Source: http://www.hockey-reference.com/teams/TOR/2017.html

//////////////////////////////////////////// Toronto Maple Leafs Player Statistics: 2016-2017 Season ////////////////////////////////////////////

Name: Frederik Gauthier	Number: 33
	Scoring			Goals	Assists								
Rk	Date	G	Age	Tm		Opp		G	A	PTS	+/-	PIM	EV	PP	SH	GW	EV	PP	SH	S	S%	SHFT	TOI	HIT	BLK	FOW	FOL	FO%
30	2016-12-19	30	20-232	TOR		ANA	L	0	0	0	-1	2	0	0	0	0	0	0	0	4	0.0	21	16:40	2	0	4	8	33.3
31	2016-12-22	31	20-235	TOR	@	COL	W	0	1	1	0	0	0	0	0	0	0	1	0	1	0.0	14	10:25	0	0	0	0	
32	2016-12-23	32	20-236	TOR	@	ARI	W	1	0	1	1	4	1	0	0	0	0	0	0	2	50.0	23	13:27	0	0	0	0	
33	2016-12-28	33	20-241	TOR	@	FLA	W	1	0	1	-1	2	0	1	0	0	0	0	0	2	50.0	24	17:41	0	1	1	0	100.0
34	2016-12-29	34	20-242	TOR	@	TBL	W	0	1	1	0	0	0	0	0	0	0	1	0	5	0.0	25	18:22	0	0	0	1	0.0
35	2017-01-01	35	20-245	TOR		DET	W	0	1	1	1	2	0	0	0	0	1	0	0	0		26	16:49	1	0	0	0	
36	2017-01-03	36	20-247	TOR	@	WSH	L-OT	0	1	1	-1	0	0	0	0	0	0	1	0	0		25	20:03	0	0	0	0	
37	2017-01-06	37	20-250	TOR	@	NJD	W	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	17	11:49	0	0	0	0	
38	2017-01-07	38	20-251	TOR		MTL	L	0	0	0	-1	0	0	0	0	0	0	0	0	1	0.0	22	14:03	0	0	0	0	
39	2017-01-13	39	20-257	TOR	@	NYR	W	1	0	1	0	0	1	0	0	0	0	0	0	5	20.0	18	13:30	0	0	0	0	
40	2017-01-14	40	20-258	TOR	@	OTT	W	0	1	1	0	0	0	0	0	0	1	0	0	0		19	13:42	0	0	0	0	
Rk	Date	G	Age	Tm		Opp		G	A	PTS	+/-	PIM	EV	PP	SH	GW	EV	PP	SH	S	S%	SHFT	TOI	HIT	BLK	FOW	FOL	FO%
41	2017-01-17	41	20-261	TOR		BUF	W	0	1	1	0	0	0	0	0	0	1	0	0	0		18	14:35	0	0	0	0	
42	2017-01-19	42	20-263	TOR		NYR	L	0	0	0	-2	0	0	0	0	0	0	0	0	3	0.0	19	15:29	1	0	0	1	0.0
43	2017-01-21	43	20-265	TOR		OTT	L-SO	0	0	0	1	0	0	0	0	0	0	0	0	5	0.0	23	15:10	0	0	0	1	0.0
44	2017-01-23	44	20-267	TOR		CGY	W	0	1	1	1	2	0	0	0	0	1	0	0	1	0.0	22	15:17	0	0	0	0	
45	2017-01-25	45	20-269	TOR	@	DET	W	0	0	0	1	2	0	0	0	0	0	0	0	3	0.0	21	12:53	0	0	0	2	0.0
46	2017-01-26	46	20-270	TOR	@	PHI	L	1	0	1	1	0	1	0	0	0	0	0	0	7	14.3	21	17:05	0	1	0	1	0.0
47	2017-01-31	47	20-275	TOR	@	DAL	L	0	0	0	-1	0	0	0	0	0	0	0	0	4	0.0	22	16:33	1	0	0	0	
48	2017-02-02	48	20-277	TOR	@	STL	L	0	0	0	-2	0	0	0	0	0	0	0	0	1	0.0	22	14:44	0	0	0	0	
49	2017-02-04	49	20-279	TOR	@	BOS	W	3	0	3	2	0	2	1	0	0	0	0	0	4	75.0	24	16:39	0	0	0	0	
50	2017-02-06	50	20-281	TOR	@	NYI	L-OT	1	0	1	-1	0	1	0	0	0	0	0	0	3	33.3	26	17:10	0	0	0	1	0.0
51	2017-02-07	51	20-282	TOR		DAL	W	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	23	16:26	0	0	0	0	
52	2017-02-09	52	20-284	TOR		STL	L-OT	0	1	1	0	0	0	0	0	0	1	0	0	4	0.0	22	15:23	2	0	0	0	
53	2017-02-11	53	20-286	TOR		BUF	L	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	22	17:35	0	0	0	0	
54	2017-02-14	54	20-289	TOR		NYI	W	1	1	2	2	0	1	0	0	0	1	0	0	3	33.3	23	14:57	0	0	0	0	
55	2017-02-15	55	20-290	TOR	@	CBJ	L	0	0	0	-2	0	0	0	0	0	0	0	0	0		18	14:30	0	0	0	0	
56	2017-02-18	56	20-293	TOR		OTT	L	1	1	2	0	0	0	1	0	0	1	0	0	2	50.0	26	18:54	0	0	0	0	
57	2017-02-19	57	20-294	TOR	@	CAR	W	0	0	0	1	0	0	0	0	0	0	0	0	3	0.0	20	14:21	0	0	0	0	
58	2017-02-21	58	20-296	TOR		WPG	W	1	1	2	0	0	0	1	0	0	0	1	0	3	33.3	27	18:26	1	0	0	0	
59	2017-02-23	59	20-298	TOR		NYR	L-SO	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	28	21:47	0	0	1	0	100.0
60	2017-02-25	60	20-300	TOR		MTL	L-OT	0	1	1	2	4	0	0	0	0	1	0	0	2	0.0	25	16:44	0	0	0	1	0.0
Rk	Date	G	Age	Tm		Opp		G	A	PTS	+/-	PIM	EV	PP	SH	GW	EV	PP	SH	S	S%	SHFT	TOI	HIT	BLK	FOW	FOL	FO%
61	2017-02-28	61	20-303	TOR	@	SJS	L	0	1	1	-1	0	0	0	0	0	0	1	0	4	0.0	21	15:55	1	0	0	0	
62	2017-03-02	62	20-305	TOR	@	LAK	L-SO	0	0	0	0	0	0	0	0	0	0	0	0	0		26	18:49	0	1	0	0	
63	2017-03-03	63	20-306	TOR	@	ANA	L	0	1	1	1	0	0	0	0	0	1	0	0	3	0.0	26	17:11	0	0	0	0	
64	2017-03-07	64	20-310	TOR		DET	W	0	1	1	1	0	0	0	0	0	1	0	0	2	0.0	19	14:11	0	0	0	0	
65	2017-03-09	65	20-312	TOR		PHI	W	1	0	1	0	0	0	1	0	0	0	0	0	3	33.3	22	15:49	1	1	0	0	
66	2017-03-11	66	20-314	TOR	@	CAR	W	0	1	1	0	0	0	0	0	0	1	0	0	2	0.0	21	17:06	0	0	0	0	
67	2017-03-14	67	20-317	TOR	@	FLA	L	0	1	1	-1	2	0	0	0	0	0	1	0	3	0.0	21	15:42	1	0	0	1	0.0
68	2017-03-16	68	20-319	TOR	@	TBL	W	0	1	1	0	0	0	0	0	0	0	1	0	3	0.0	19	14:37	0	0	0	0	
69	2017-03-18	69	20-321	TOR		CHI	L-OT	0	1	1	0	0	0	0	0	0	1	0	0	2	0.0	22	16:28	0	0	0	0	
70	2017-03-20	70	20-323	TOR		BOS	W	1	0	1	1	0	1	0	0	1	0	0	0	2	50.0	14	10:59	1	0	0	0	
71	2017-03-22	71	20-325	TOR	@	CBJ	W	1	1	2	1	0	1	0	0	1	0	1	0	2	50.0	16	14:31	2	1	0	0	
72	2017-03-23	72	20-326	TOR		NJD	W	1	1	2	1	2	1	0	0	0	0	1	0	5	20.0	20	12:39	0	0	0	0	
73	2017-03-25	73	20-328	TOR	@	BUF	L	0	1	1	0	0	0	0	0	0	1	0	0	0		20	15:37	0	0	0	0	
74	2017-03-28	74	20-331	TOR		FLA	W	0	1	1	0	2	0	0	0	0	1	0	0	1	0.0	25	15:35	0	0	0	0	
75	2017-03-30	75	20-333	TOR	@	NSH	W	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	21	15:55	0	0	0	1	0.0
76	2017-04-01	76	20-335	TOR	@	DET	W	1	0	1	-1	0	1	0	0	0	0	0	0	2	50.0	22	13:43	2	0	0	0	
77	2017-04-03	77	20-337	TOR	@	BUF	W	0	1	1	0	0	0	0	0	0	1	0	0	5	0.0	20	15:50	0	0	0	1	0.0
78	2017-04-04	78	20-338	TOR		WSH	L	0	0	0	-2	0	0	0	0	0	0	0	0	2	0.0	22	15:19	2	0	2	1	66.7
79	2017-04-06	79	20-340	TOR		TBL	L	0	0	0	0	0	0	0	0	0	0	0	0	0		25	18:30	1	1	2	1	66.7
80	2017-04-08	80	20-342	TOR		PIT	W	0	1	1	-1	0	0	0	0	0	0	1	0	2	0.0	22	15:44	0	0	1	2	33.3
Rk	Date	G	Age	Tm		Opp		G	A	PTS	+/-	PIM	EV	PP	SH	GW	EV	PP	SH	S	S%	SHFT	TOI	HIT	BLK	FOW	FOL	FO%
81	2017-04-09	81	20-343	TOR		CBJ	L	0	0	0	-1	0	0	0	0	0	0	0	0	7	0.0	24	18:43	0	0	0	2	0.0

Name: Kasperi Kapanen	Number: 28
	Scoring			Goals	Assists								
Rk	Date	G	Age	Tm		Opp		G	A	PTS	+/-	PIM	EV	PP	SH	GW	EV	PP	SH	S	S%	SHFT	TOI	HIT	BLK	FOW	FOL	FO%
1	2017-03-28	1	20-248	TOR		FLA	W	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	19	11:38	2	1	0	0	
2	2017-03-30	2	20-250	TOR	@	NSH	W	0	0	0	-1	0	0	0	0	0	0	0	0	0		16	9:42	0				
3	2017-04-01	3	20-252	TOR	@	DET	W	0	0	0	-1	0	0	0	0	0	0	0	0	2	0.0	17	11:28	0	0	0	0	
4	2017-04-03	4	20-254	TOR	@	BUF	W	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	19	11:57	0	0	0	0	
5	2017-04-04	5	20-255	TOR		WSH	L	0	0	0	-1	0	0	0	0	0	0	0	0	0		17	11:49	0	0	0	0	
6	2017-04-06	6	20-257	TOR		TBL	L	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	16	9:25	2	1	0	0	
7	2017-04-08	7	20-259	TOR		PIT	W	1	0	1	1	0	1	0	0	0	0	0	0	1	100.0	19	10:08	0	0	0	0	
8	2017-04-09	8	20-260	TOR		CBJ	L	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	14	9:27	2	0	0	0	

Name: Mitchell Marner	Number: 16
	Scoring			Goals	Assists								
Rk	Date	G	Age	Tm		Opp		G	A	PTS	+/-	PIM	EV	PP	SH	GW	EV	PP	SH	S	S%	SHFT	TOI	HIT	BLK	FOW	FOL	FO%
1	2016-10-12	1	19-160	TOR	@	OTT	L-OT	0	0	0	-2	0	0	0	0	0	0	0	0	6	0.0	23	17:36	0	1	0	0	
2	2016-10-15	2	19-163	TOR		BOS	W	1	0	1	2	2	1	0	0	1	0	0	0	4	25.0	20	15:25	1	3	0	0	
3	2016-10-19	3	19-167	TOR	@	WPG	L-OT	0	1	1	-2	2	0	0	0	0	1	0	0	1	0.0	21	14:47	0	1	0	0	
4	2016-10-20	4	19-168	TOR	@	MIN	L	0	0	0	-1	0	0	0	0	0	0	0	0	2	0.0	22	17:28	0	1	0	0	
5	2016-10-22	5	19-170	TOR	@	CHI	L-SO	0	1	1	1	2	0	0	0	0	1	0	0	1	0.0	22	16:33	1	3	0	0	
6	2016-10-25	6	19-173	TOR		TBL	L	0	0	0	-1	4	0	0	0	0	0	0	0	3	0.0	23	17:44	1	0	1	0	100.0
7	2016-10-27	7	19-175	TOR		FLA	W	0	3	3	3	2	0	0	0	0	3	0	0	2	0.0	22	16:04	0	0	1	1	50.0
8	2016-10-29	8	19-177	TOR	@	MTL	L	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	22	18:43	0	0	0	0	
9	2016-10-30	9	19-178	TOR	@	NYI	L	0	0	0	-2	0	0	0	0	0	0	0	0	3	0.0	21	16:48	0	0	1	1	50.0
10	2016-11-01	10	19-180	TOR		EDM	W	0	0	0	-1	0	0	0	0	0	0	0	0	1	0.0	21	16:04	1	0	0	1	0.0
11	2016-11-03	11	19-182	TOR	@	BUF	W	2	0	2	1	0	2	0	0	1	0	0	0	4	50.0	20	14:30	0	0	1	0	100.0
12	2016-11-05	12	19-184	TOR		VAN	W	1	1	2	0	0	1	0	0	1	0	1	0	4	25.0	24	15:44	1	0	0	1	0.0
13	2016-11-08	13	19-187	TOR		LAK	L	0	0	0	-3	0	0	0	0	0	0	0	0	2	0.0	20	18:01	1	0	0	0	
14	2016-11-11	14	19-190	TOR		PHI	W	1	1	2	-1	0	0	1	0	0	0	1	0	3	33.3	23	17:35	0	0	1	0	100.0
15	2016-11-12	15	19-191	TOR	@	PIT	L	0	0	0	-1	0	0	0	0	0	0	0	0	3	0.0	20	17:42	0	0	0	0	
16	2016-11-15	16	19-194	TOR		NSH	W	1	2	3	4	0	1	0	0	0	2	0	0	4	25.0	23	17:26	1	0	0	0	
17	2016-11-17	17	19-196	TOR		FLA	W	1	0	1	1	2	1	0	0	0	0	0	0	1	100.0	20	15:33	1	1	0	0	
18	2016-11-19	18	19-198	TOR	@	MTL	L	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	23	16:12	1	2	1	1	50.0
19	2016-11-22	19	19-201	TOR		CAR	L	0	0	0	-1	0	0	0	0	0	0	0	0	3	0.0	20	14:32	1	1	0	0	
20	2016-11-23	20	19-202	TOR	@	NJD	L-SO	0	0	0	-1	0	0	0	0	0	0	0	0	4	0.0	25	20:18	1	1	0	1	0.0
Rk	Date	G	Age	Tm		Opp		G	A	PTS	+/-	PIM	EV	PP	SH	GW	EV	PP	SH	S	S%	SHFT	TOI	HIT	BLK	FOW	FOL	FO%
21	2016-11-26	21	19-205	TOR		WSH	W	0	2	2	0	0	0	0	0	0	1	1	0	1	0.0	22	18:02	1	1	0	0	
22	2016-11-29	22	19-208	TOR	@	EDM	W	0	1	1	1	2	0	0	0	0	1	0	0	0		22	15:14	0	2	0	1	0.0
23	2016-11-30	23	19-209	TOR	@	CGY	L	0	0	0	0	0	0	0	0	0	0	0	0	5	0.0	22	18:36	0	1	0	0	
24	2016-12-03	24	19-212	TOR	@	VAN	L-SO	0	0	0	-1	0	0	0	0	0	0	0	0	4	0.0	26	22:04	1	0	0	0	
25	2016-12-07	25	19-216	TOR		MIN	L	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	25	18:52	0	0	0	1	0.0
26	2016-12-10	26	19-219	TOR	@	BOS	W	0	0	0	0	2	0	0	0	0	0	0	0	1	0.0	20	17:21	1	0	0	0	
27	2016-12-11	27	19-220	TOR		COL	L	0	1	1	-1	0	0	0	0	0	0	1	0	2	0.0	21	16:32	0	1	1	1	50.0
28	2016-12-13	28	19-222	TOR		SJS	L-SO	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	22	16:20	0	0	0	0	
29	2016-12-15	29	19-224	TOR		ARI	L-SO	1	0	1	0	0	1	0	0	0	0	0	0	2	50.0	23	20:11	0	0	0	1	0.0
30	2016-12-17	30	19-226	TOR		PIT	W	0	2	2	2	0	0	0	0	0	2	0	0	3	0.0	21	16:42	0	0	0	0	
31	2016-12-19	31	19-228	TOR		ANA	L	0	0	0	-1	0	0	0	0	0	0	0	0	1	0.0	21	16:46	0	0	0	0	
32	2016-12-22	32	19-231	TOR	@	COL	W	0	3	3	2	0	0	0	0	0	2	1	0	2	0.0	25	17:29	0	0	0	2	0.0
33	2016-12-23	33	19-232	TOR	@	ARI	W	0	0	0	0	0	0	0	0	0	0	0	0	4	0.0	23	17:01	0	1	1	1	50.0
34	2016-12-28	34	19-237	TOR	@	FLA	W	0	0	0	0	0	0	0	0	0	0	0	0	9	0.0	24	16:25	2	0	0	1	0.0
35	2016-12-29	35	19-238	TOR	@	TBL	W	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	23	16:14	0	0	1	0	100.0
36	2017-01-01	36	19-241	TOR		DET	W	1	0	1	0	0	1	0	0	0	0	0	0	3	33.3	23	15:31	1	0	0	0	
37	2017-01-03	37	19-243	TOR	@	WSH	L-OT	1	1	2	-2	0	1	0	0	0	0	1	0	3	33.3	24	14:39	0	0	0	1	0.0
38	2017-01-06	38	19-246	TOR	@	NJD	W	0	0	0	-1	2	0	0	0	0	0	0	0	1	0.0	20	18:11	3	1	0	0	
39	2017-01-07	39	19-247	TOR		MTL	L	0	3	3	0	2	0	0	0	0	1	2	0	4	0.0	30	20:53	1	0	1	0	100.0
40	2017-01-13	40	19-253	TOR	@	NYR	W	0	2	2	0	0	0	0	0	0	0	2	0	0		18	14:55	0	0	0	0	
Rk	Date	G	Age	Tm		Opp		G	A	PTS	+/-	PIM	EV	PP	SH	GW	EV	PP	SH	S	S%	SHFT	TOI	HIT	BLK	FOW	FOL	FO%
41	2017-01-14	41	19-254	TOR	@	OTT	W	0	1	1	1	0	0	0	0	0	1	0	0	0		21	16:15	0	0	0	0	
42	2017-01-17	42	19-257	TOR		BUF	W	0	1	1	-1	2	0	0	0	0	0	1	0	0		18	15:51	1	1	0	0	
43	2017-01-19	43	19-259	TOR		NYR	L	0	1	1	-1	0	0	0	0	0	1	0	0	1	0.0	24	14:32	1	0	0	0	
44	2017-01-21	44	19-261	TOR		OTT	L-SO	0	0	0	-1	0	0	0	0	0	0	0	0	1	0.0	24	18:44	0	0	0	0	
45	2017-01-23	45	19-263	TOR		CGY	W	1	1	2	1	2	1	0	0	1	0	1	0	3	33.3	19	16:47	0	1	0	0	
46	2017-01-25	46	19-265	TOR	@	DET	W	0	0	0	1	0	0	0	0	0	0	0	0	0		21	18:05	1	0	0	0	
47	2017-01-26	47	19-266	TOR	@	PHI	L	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	21	16:05	0	1	0	0	
48	2017-01-31	48	19-271	TOR	@	DAL	L	1	1	2	-1	0	1	0	0	0	0	1	0	6	16.7	25	17:12	0	1	0	0	
49	2017-02-02	49	19-273	TOR	@	STL	L	1	0	1	1	2	1	0	0	0	0	0	0	3	33.3	24	17:54	0	0	0	0	
50	2017-02-04	50	19-275	TOR	@	BOS	W	0	2	2	1	0	0	0	0	0	2	0	0	1	0.0	23	15:15	1	0	0	1	0.0
51	2017-02-06	51	19-277	TOR	@	NYI	L-OT	1	0	1	0	0	1	0	0	0	0	0	0	3	33.3	23	18:31	0	2	0	0	
52	2017-02-07	52	19-278	TOR		DAL	W	0	1	1	1	0	0	0	0	0	1	0	0	3	0.0	23	15:29	4	1	1	0	100.0
53	2017-02-09	53	19-280	TOR		STL	L-OT	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	19	14:59	1	2	0	0	
54	2017-02-11	54	19-282	TOR		BUF	L	1	0	1	-1	0	0	1	0	0	0	0	0	5	20.0	23	18:22	2	0	0	0	
55	2017-02-14	55	19-285	TOR		NYI	W	0	1	1	1	2	0	0	0	0	1	0	0	0		22	16:46	2	0	0	0	
56	2017-02-15	56	19-286	TOR	@	CBJ	L	0	0	0	0	0	0	0	0	0	0	0	0	0		15	9:56	0	1	0	0	
57	2017-02-28	57	19-299	TOR	@	SJS	L	0	0	0	-1	0	0	0	0	0	0	0	0	1	0.0	20	15:53	0	1	1	1	50.0
58	2017-03-02	58	19-301	TOR	@	LAK	L-SO	0	1	1	1	2	0	0	0	0	1	0	0	0		24	15:37	1	0	0	1	0.0
59	2017-03-03	59	19-302	TOR	@	ANA	L	0	1	1	-4	2	0	0	0	0	0	1	0	2	0.0	23	16:36	0	0	0	1	0.0
60	2017-03-07	60	19-306	TOR		DET	W	0	2	2	1	0	0	0	0	0	1	1	0	2	0.0	20	15:51	0	0	1	0	100.0
Rk	Date	G	Age	Tm		Opp		G	A	PTS	+/-	PIM	EV	PP	SH	GW	EV	PP	SH	S	S%	SHFT	TOI	HIT	BLK	FOW	FOL	FO%
61	2017-03-09	61	19-308	TOR		PHI	W	1	0	1	1	2	0	1	0	1	0	0	0	1	100.0	23	13:49	0	0	0	0	
62	2017-03-11	62	19-310	TOR	@	CAR	W	1	0	1	2	0	1	0	0	0	0	0	0	3	33.3	22	15:38	1	1	0	0	
63	2017-03-14	63	19-313	TOR	@	FLA	L	0	0	0	-2	0	0	0	0	0	0	0	0	2	0.0	22	16:43	0	0	0	0	
64	2017-03-16	64	19-315	TOR	@	TBL	W	0	1	1	2	0	0	0	0	0	1	0	0	2	0.0	20	13:14	1	0	0	0	
65	2017-03-18	65	19-317	TOR		CHI	L-OT	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	22	18:11	1	3	0	0	
66	2017-03-20	66	19-319	TOR		BOS	W	0	1	1	1	0	0	0	0	0	1	0	0	5	0.0	18	24:24	1	0	0	0	
67	2017-03-22	67	19-321	TOR	@	CBJ	W	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	22	16:54	1	2	0	0	
68	2017-03-23	68	19-322	TOR		NJD	W	0	1	1	1	0	0	0	0	0	1	0	0	2	0.0	21	16:23	0	0	0	1	0.0
69	2017-03-25	69	19-324	TOR	@	BUF	L	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	20	18:54	0	0	0	0	
70	2017-03-28	70	19-327	TOR		FLA	W	0	0	0	0	0	0	0	0	0	0	0	0	0		20	15:35	0	0	0	0	
71	2017-03-30	71	19-329	TOR	@	NSH	W	0	1	1	0	0	0	0	0	0	0	1	0	0		21	14:32	1	1	0	1	0.0
72	2017-04-01	72	19-331	TOR	@	DET	W	1	0	1	1	0	1	0	0	0	0	0	0	3	33.3	21	15:15	0	0	0	0	
73	2017-04-03	73	19-333	TOR	@	BUF	W	0	1	1	1	0	0	0	0	0	0	1	0	2	0.0	21	14:28	0	0	1	1	50.0
74	2017-04-04	74	19-334	TOR		WSH	L	1	0	1	0	2	0	1	0	0	0	0	0	2	50.0	23	18:09	0	0	0	1	0.0
75	2017-04-06	75	19-336	TOR		TBL	L	0	0	0	-2	0	0	0	0	0	0	0	0	2	0.0	25	17:55	0	0	0	0	
76	2017-04-08	76	19-338	TOR		PIT	W	0	0	0	1	0	0	0	0	0	0	0	0	0		23	18:53	0	0	0	0	
77	2017-04-09	77	19-339	TOR		CBJ	L	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	24	18:03	0	0	0	0	

Name: Ben Smith	Number: 18
	Scoring			Goals	Assists								
Rk	Date	G	Age	Tm		Opp		G	A	PTS	+/-	PIM	EV	PP	SH	GW	EV	PP	SH	S	S%	SHFT	TOI	HIT	BLK	FOW	FOL	FO%
1	2016-10-15	1	28-096	COL		DAL	W	0	0	0	-2	0	0	0	0	0	0	0	0	0		22	14:12	1	0	6	4	60.0
2	2016-10-17	2	28-098	COL	@	PIT	W	0	0	0	1	0	0	0	0	0	0	0	0	0		13	8:25	0	0	4	3	57.1
3	2016-10-20	3	28-101	COL	@	TBL	W	0	0	0	0	0	0	0	0	0	0	0	0	0		15	9:23	0	0	5	3	62.5
4	2016-10-22	4	28-103	COL	@	FLA	L	0	0	0	-1	0	0	0	0	0	0	0	0	1	0.0	16	11:05	0	0	6	9	40.0
5	2016-10-25	5	28-106	TOR		TBL	L	0	0	0	-1	0	0	0	0	0	0	0	0	0		17	11:47	1	1	6	4	60.0
6	2016-10-27	6	28-108	TOR		FLA	W	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	20	12:54	0	2	8	7	53.3
7	2016-10-29	7	28-110	TOR	@	MTL	L	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	19	13:30	2	1	7	7	50.0
8	2016-10-30	8	28-111	TOR	@	NYI	L	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	17	13:16	1	1	7	6	53.8
9	2016-11-01	9	28-113	TOR		EDM	W	1	0	1	1	0	1	0	0	0	0	0	0	2	50.0	19	10:25	0	0	7	8	46.7
10	2016-11-03	10	28-115	TOR	@	BUF	W	0	0	0	-1	0	0	0	0	0	0	0	0	0		18	12:11	0	2	4	11	26.7
11	2016-11-05	11	28-117	TOR		VAN	W	0	1	1	1	0	0	0	0	0	1	0	0	0		22	12:28	2	0	12	6	66.7
12	2016-11-08	12	28-120	TOR		LAK	L	0	0	0	-2	0	0	0	0	0	0	0	0	0		21	13:51	0	2	8	7	53.3
13	2016-11-11	13	28-123	TOR		PHI	W	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	18	13:51	1	0	7	3	70.0
14	2016-11-15	14	28-127	TOR		NSH	W	0	0	0	1	0	0	0	0	0	0	0	0	1	0.0	16	10:16	0	2	7	5	58.3
15	2016-11-17	15	28-129	TOR		FLA	W	0	0	0	0	0	0	0	0	0	0	0	0	0		17	10:58	0	0	7	8	46.7
16	2016-11-19	16	28-131	TOR	@	MTL	L	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	22	13:09	3	0	7	4	63.6
17	2016-11-22	17	28-134	TOR		CAR	L	0	0	0	0	0	0	0	0	0	0	0	0	0		13	8:54	0	0	3	4	42.9
18	2016-11-23	18	28-135	TOR	@	NJD	L-SO	0	0	0	1	0	0	0	0	0	0	0	0	0		18	10:47	0	0	6	3	66.7
19	2016-11-26	19	28-138	TOR		WSH	W	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	18	12:10	0	2	9	7	56.3
20	2016-11-29	20	28-141	TOR	@	EDM	W	0	0	0	0	0	0	0	0	0	0	0	0	0		20	12:02	0	5	4	4	50.0
Rk	Date	G	Age	Tm		Opp		G	A	PTS	+/-	PIM	EV	PP	SH	GW	EV	PP	SH	S	S%	SHFT	TOI	HIT	BLK	FOW	FOL	FO%
21	2016-11-30	21	28-142	TOR	@	CGY	L	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	15	11:50	1	0	2	3	40.0
22	2016-12-03	22	28-145	TOR	@	VAN	L-SO	0	0	0	-1	0	0	0	0	0	0	0	0	0		18	11:34	0	2	1	4	20.0
23	2016-12-07	23	28-149	TOR		MIN	L	1	0	1	1	0	1	0	0	0	0	0	0	2	50.0	16	9:42	0	2	5	4	55.6
24	2016-12-10	24	28-152	TOR	@	BOS	W	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	19	13:24	0	0	7	4	63.6
25	2016-12-11	25	28-153	TOR		COL	L	0	0	0	0	0	0	0	0	0	0	0	0	0		16	11:45	3	2	4	8	33.3
26	2016-12-13	26	28-155	TOR		SJS	L-SO	0	0	0	0	2	0	0	0	0	0	0	0	2	0.0	20	12:51	3	1	7	7	50.0
27	2016-12-15	27	28-157	TOR		ARI	L-SO	0	0	0	0	2	0	0	0	0	0	0	0	2	0.0	20	10:11	1	0	6	3	66.7
28	2016-12-17	28	28-159	TOR		PIT	W	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	19	10:07	2	3	7	3	70.0
29	2017-02-02	29	28-206	TOR	@	STL	L	0	0	0	-1	0	0	0	0	0	0	0	0	0		15	12:34	1	1	6	8	42.9
30	2017-02-04	30	28-208	TOR	@	BOS	W	0	0	0	-1	0	0	0	0	0	0	0	0	0		19	11:30	0	1	8	9	47.1
31	2017-02-06	31	28-210	TOR	@	NYI	L-OT	0	0	0	-1	0	0	0	0	0	0	0	0	0		16	10:15	0	3	5	5	50.0
32	2017-02-07	32	28-211	TOR		DAL	W	0	0	0	0	0	0	0	0	0	0	0	0	0		20	9:59	0	0	6	9	40.0
33	2017-02-09	33	28-213	TOR		STL	L-OT	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	20	12:35	2	1	7	7	50.0
34	2017-02-11	34	28-215	TOR		BUF	L	0	0	0	-1	0	0	0	0	0	0	0	0	0		13	8:09	0	1	7	0	100.0
35	2017-02-14	35	28-218	TOR		NYI	W	0	1	1	2	0	0	0	0	0	1	0	0	1	0.0	24	13:22	0	0	12	8	60.0
36	2017-02-15	36	28-219	TOR	@	CBJ	L	0	0	0	-1	0	0	0	0	0	0	0	0	0		20	11:54	1	1	5	9	35.7
37	2017-02-18	37	28-222	TOR		OTT	L	0	0	0	-1	0	0	0	0	0	0	0	0	0		15	9:01	1	0	4	6	40.0
38	2017-02-19	38	28-223	TOR	@	CAR	W	0	0	0	0	0	0	0	0	0	0	0	0	0		17	10:55	1	3	2	7	22.2
39	2017-02-25	39	28-229	TOR		MTL	L-OT	0	0	0	0	0	0	0	0	0	0	0	0	0		13	10:56	2	2	3	8	27.3
40	2017-03-25	40	28-257	TOR	@	BUF	L	0	0	0	-1	0	0	0	0	0	0	0	0	2	0.0	16	10:31	0	0	7	2	77.8

